SIF001,Stark vs Lannister Starter Set
SIF002,Night's Watch Starter Set
SIF003,Free Folk Starter Set
SIF101,Stark Sworn Swords
SIF102,Stark Outriders
SIF103,Umber Berserkers
SIF104,Umber Greataxes
SIF105,Tully Sworn Shields
SIF106,Stark Bowmen
SIF107,Crannogman Trackers
SIF108,Tully Cavaliers
SIF109,Stark Heroes 1
SIF110,Stark Heroes 2
SIF201,Lannister Guardsmen
SIF202,Lannister Halberdiers
SIF203,The Mountain's Men
SIF204,Pyromancers
SIF205,Knights of Casterly Rock
SIF206,Lannister Crossbowmen
SIF207,Warrior's Sons
SIF208,Poor Fellows
SIF209,Lannister Heroes 1
SIF210,Lannister Heroes 2
SIF301,Sworn Brothers
SIF302,Ranger Trackers
SIF303,Veterans of the Watch
SIF304,Builder Crossbowmen
SIF305,Ranger Hunters
SIF306,Scorpion Weapon Crew
SIF308,Conscripts
SIF309,Night's Watch Heroes 1
SIF401,Free Folk Raiders
SIF403,Free Folk Trappers
SIF405,Spearwives
SIF406,Savage Giants
SIF407,Followers of Bone
SIF408,Cave Dweller Savages
SIF409,Free Folk Heroes 1
SIF501,Bolton Cutthroats
SIF502,Bolton Bastard's Girls
SIF503,Bolton Flayed Men
SIF505,Neutral Heroes 1
SIFKS001,Hand of the King
SIFKS019,Champion of the Faith
SIFKS021,Dreadfort Captain
SIF008,Baratheon Starter Set
SIF504,Bolton Blackguards
SIF404,Thenn Warriors
SIF307,Builder Stone Thrower
SIF510,Neutral Heroes 2
SIF006,Targaryen Starter Set
SIF402,Skinchangers
SIF508,Bloody Mummer Skirmishers
SIF512,Stormcrow Archers
SIF511,Stormcrow Mercenaries
SIF601,Dothraki Screamers
SIF801,Baratheon Wardens
SIF509,Bloody Mummer Zorse Riders
SIF607,Unsullied Swordmasters
SIF809,Baratheon Heroes 1
SIF810,Baratheon Heroes 2
SIF808,R'hllor Faithful
SIF811,Rose Knights
SIF609,Targaryen Heroes 1
SIF802,Baratheon Sentinels
SIF803,Stag Knights
SIF804,Champions of the Stag
SIF513,Stormcrow Dervishes
SIF602,Dothraki Veterans
SIF606,Unsullied Pikemen
SIF116,Stark Attachments 1
SIF216,Lannister Attachments 1
SIF316,Night's Watch Attachments 1
SIF412,War Mammoths
SIF416,Free Folk Attachments 1
SIF608,Mother of Dragons
SIF816,Baratheon Attachments 1
SIF009,Greyjoy Starter Set
SIF903,Ironmakers
SIF904,Ironborn Trappers
SIF909,Greyjoy Heroes 1
SIF211,Lannister Red Cloaks
SIF603,Dothraki Outriders
SIF604,Dothraki Hrakkars
SIF111,Mormont Shebears
SIF507,Hedge Knights
SIF605,Freedmen
SIF805,King's Men
SIF806,Queen's Men
SIF807,R'hllor Lightbringers
SIF114,House Karstark Spearmen
SIF214,House Clegane Brigands
SIF310,Night's Watch Heroes 2
SIF312,Ranger Vanguard
SIF410,Free Folk Heroes 2
SIF411,Frozen Shore Chariots
SIF610,Targaryen Heroes 2
SIF812,Thorn Watch
SIF908,Silenced Men
SIF901,Ironborn Reavers
SIF902,Ironborn Bowmen
SIF905,House Harlaw Reapers
SIF906,Blacktyde Chosen
SIF001B,Lannister Starter Set
SIF001A,Stark Starter Set
SIF212,Lannisport City Watch
SIF112,Mormont Bruisers
SIF313,Shadow Tower Spearmen
SIF910,Greyjoy Heroes 2
SIF414,Frozen Shore Bear Riders
SIF113,Karstark Loyalists
SIF115,Stark Heroes 3
SIF215,Lannister Heroes 3
SIF315,Night's Watch Heroes 3
SIF415,Free Folk Heroes 3
SIF813,Riders of Highgarden
SIF213,Casterly Rock Honor Guard
SIF516,Golden Company Swordsmen
SIF517,Golden Company Crossbowmen
SIF518,Golden Company War Elephants
SIF814,Highgarden Pikemen
SIF907,Drowned Men
SIF007,Martell Starter Set
SIF709,Martell Heroes 1
SIF704,Sunspear Royal Guard
SIF417,Varamyr Sixskins
SIF815,Baratheon Heroes 3
SIF820,Baratheon Heroes 4
SIF705,Dune Vipers
SIF706,Starfall Outriders
SIF707,Starfall Knights
SIF117,Crannogmen Bog Devils
SIF413,Frozen Shore Hunters
SIF615,Targaryen Heroes 3
SIF519,Lysene Sellswords
SIF611,Brazen Beasts
SIF702,Sand Skirmishers
SIF703,Sunspear Dervishes
SIF005,Bolton Starter Set
SIF506,Bolton Heroes 1
SIF523,Dreadfort Archers
SIF522,Dreadfort Spearmen
SIF612,Pit Fighters
SIF710,Martell Heroes 2
SIF217,Gold Cloaks
SIF515,Neutral Heroes 3
SIF708,Darkstar Retinue
SIF118,House Umber Ravagers
SIF817,Baratheon Halberdiers
SIF418,Giant Spear Throwers
SIF911,Stony Shore Pillagers
SIF521,Stonecrows
SIF119,Winterfell Guards
SIF419,Harma's Vanguard
SIF818,Crownland Scouts
SIF912,Iron Victory Crew
SIF711,Skyreach Bowmen
SIFPR47,Rhaenyra Targaryen
SIFPR48,Alicent Hightower
SIF010,Brotherhood without Banners Starter Set
SIF014,Brotherhood Sworn Knights
SIF015,Brotherhood without Banners Heroes